numero|nomenclatura|longitud|latitud|tipo_gps|profundidad|fecha|orientacion|tipo_sustrato|facies|especies|observaciones
52|Cabo Viejo 5|-332559,576|4222391,261|topcom|10|2013-09-15|2|roca|8, 10|66(3), 12(3), 3(2), 9(2), 20(2), 33(1), 25(1), 30(1), 4(3), 15(2)|
53|Cabo Viejo 6|ver observaciones|ver observaciones|ver observaciones|5|2013-09-15|2|roca|7, 8|3(1), 15(1), 12(2), 20(3), 25(3), 66(3), 2(2), 86(1), 87(1), 6(1), 46(1), 76(1), 18(1), 9(2), 47(1), 4(1), 88(1), 57(1), 30(1), 28(1), 31(1), 51(1), 75(1), 29(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 52), hacia tierra.
54|Cabo Viejo 7|-333992,269|4221782,309|topcom|20|2013-09-15|2|mixto detrítico/roca|5|12(3), 60(2), 80(1), 66(2), 15(2), 81(2), 20(2), 47(1), 22(1), 71(1), 24(1), 9(1), 74(1), 13(1), 90(1)|
55|Cabo Viejo 8|-333861,142|4222426,841|topcom|20|2013-09-15|2|mixto detrítico/roca|5|12(3), 9(1), 4(1), 33(1), 81(2), 79(2), 18(1), 11(1), 89(1), 16(1), 20(1), 82(1)|
56|Cabo Viejo 9|-333323,653|4222952,692|topcom|10|2013-09-15|2|roca|8|66(3), 12(2), 15(2), 9(2), 25(2), 1(1), 4(2), 6(1), 3(1), 72(1), 29(1), 18(1), 20(2), 28(2)|
57|Cabo Viejo 10|ver observaciones|ver observaciones|ver observaciones|5|2013-09-15|2|roca|8|66(3), 12(2), 4(1), 20(2), 25(2), 9(2), 29(1), 33(1), 3(1), 18(1), 31(1), 28(1), 17(1), 30(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 56), hacia tierra.
58|Cabo Viejo 11|3º 00´07,1´´|35º 25´58,1´´|garmin|29|2013-09-15|2|mixto detrítico/roca|1|4(2), 60(3)|ROV: video 24
59|Cabo Viejo 12|3º 00´16,0´´|35º 25´45,5´´|garmin|31|2013-09-15|2|mixto detrítico/roca|1|4(2), 60(3)|ROV: video 25
60|Cabo Viejo 13|3º 00´16,8´´|35º 25´39,7´´|garmin|31|2013-09-15|2|mixto arena y roca|3||ROV: video 26
61|Cabo Viejo 14|2º 59´54,2´´|35º 25´28,3´´|garmin|16|2013-09-15|2|roca|8, 10|4(2), 12(3), 66(3), 15(2), 9(2), 71(2)|ROV: video 27
62|Cabo Viejo 15|2º 59´50,2´´|35º 25´40,1´´|garmin|15|2013-09-15|2|roca|8, 10|66(3), 71(2), 12(3), 15(2)|ROV: video 28
63|Cabo Viejo 16|2º 59´54,6´´|35º 25´28,7´´|garmin|15|2013-09-15|2|roca|8, 10|66(3), 71(2), 12(3), 15(2), 25(2), 9(2)|ROV: video 29
64|Cabo Viejo 17|2º 59´57,7´´|35º 25´20,5´´|garmin|15|2013-09-15|2|roca|8, 10|66(3), 12(3), 15(2), 71(2), 9(1)|ROV: video 30
65|Cabo Viejo 18|3º 00´02,7´´|35º 25´03,0´´|garmin|15|2013-09-15|2|arena|6|62(3)|ROV: video 31
66|Cabo Viejo 19|2º 59´34,7´´|35º 26´13,0´´|garmin|15|2013-09-15|2|arena|3||ROV: video 32
67|Cabo Viejo 20|2º 59´24,0´´|35º 26´17,7´´|garmin|15|2013-09-15|2|arena|3||ROV: no video
68|Cabo Viejo 21|2º 58´29,2´´|35º 26´31,5´´|garmin|15|2013-09-15|2|roca|8, 9|66(3), 15(3), 71(2), 25(2), 79(1)|ROV: video 33
69|Cabo Viejo 22|2º 58´33,5´´|35º 26´26,2´´|garmin|10|2013-09-15|2|arena|3||ROV: no video
70|Faro 1|-328611,054|4223985,664|topcom|20|2013-09-16|2|mixto detrítico/roca|5|12(3), 4(1), 3(2), 66(2), 15(2), 18(1), 71(2), 81(2), 91(1), 9(2), 20(2), 11(1), 79(1), 47(1), 72(2), 90(1), 52(1), 22(1), 92(1), 16(1), 44(1), 25(1), 7(1), 93(1), 70(1), 30(1), 28(1), 43(1)| 
71|Faro 2|-329819,787|4224271,593|topcom|20|2013-09-16|2|roca|9|15(3), 81(2), 3(2), 20(3), 12(1), 66(1), 79(2), 27(1), 9(1), 50(1), 22(1), 4(1), 47(1), 28(1), 35(1), 72(2), 18(1), 32(1), 52(1), 71(2), 94(1), 45(1), 63(1), 7(1), 74(1), 5(1)|
72|Faro 3|-329793,147|4223906,741|topcom|10|2013-09-16|2|roca|8, 9|66(3), 15(3), 3(2), 20(2), 9(2), 71(1), 12(1), 4(2), 28(1), 24(1), 43(1), 31(1), 52(1), 11(1), 58(1), 47(1), 22(1), 95(1), 33(1), 16(1), 65(1), 96(1), 7(1), 97(1)|
73|Faro 4|ver observaciones|ver observaciones|ver observaciones|5|2013-09-16|2|roca|9|15(3), 3(3), 47(2), 25(2), 66(2), 20(2), 9(2), 2(1), 33(1), 4(1), 28(1), 43(1), 11(1), 71(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 72), hacia tierra.
74|Faro 5|-329080,917|4223618,422|topcom|10|2013-09-16|2|roca|9|3(3), 71(1), 15(3), 12(2), 9(2), 25(1), 20(2), 66(2), 29(1), 11(1), 94(1), 22(1), 6(1), 43(1), 52(1), 47(1), 33(1), 30(1), 50(1)|
75|Faro 6|ver observaciones|ver observaciones|ver observaciones|5|2013-09-16|2|roca|7, 9|3(2), 12(2), 20(3), 9(1), 52(1), 25(2), 4(1), 15(3), 2(1), 71(1), 28(1), 11(1), 43(1), 31(1), 50(1), 47(1), 10(1), 24(1), 98(1), 95(1), 29(1), 70(1), 58(1)|Interpolar coordenadas a partir del punto de 10 m (punto nº 74), hacia tierra.
76|Faro 7|-330841,554|4224220,132|topcom|20|2013-09-16|2|roca|9|15(3), 66(1), 3(2), 99(1), 9(1), 20(2), 4(1), 43(1), 34(1), 51(1), 11(1), 24(1), 47(1), 33(1), 95(1), 18(1), 100(1), 2(1), 63(1), 50(1), 54(1), 90(1), 79(1), 16(1), 65(1), 42(1)|
77|Faro 8|-331705,67|4224330,664|topcom|20|2013-09-16|2|roca|9|15(3), 20(2), 71(2), 99(1), 29(1), 11(1), 31(1), 30(1), 57(1), 22(2), 16(1), 28(1), 79(1), 9(1), 45(1), 80(1), 4(1), 6(1), 5(1), 12(1), 33(1), 18(1), 51(1), 85(1), 50(1), 52(1), 72(1)|
